Designation,B-C2,B-C2,B-C2,B-C2,B-C2,B-low,B-low,B-low,B-low,B-low,B-high,B-high,B-high,B-high,B-high,B-C1,B-C1,B-C1,B-C1,B-C1,C-C2,C-C2,C-C2,C-C2,C-C2,C-C1,C-C1,C-C1,C-C1,C-C1,C-high,C-high,C-high,C-high,C-high,C-low,C-low,C-low,C-low,C-low,D-low,D-low,D-low,D-low,D-low,D-high,D-high,D-high,D-high,D-high,D-C2,D-C2,D-C2,D-C2,D-C2,D-C1,D-C1,D-C1,D-C1,D-C1,E-C2,E-C2,E-C2,E-C2,E-C2,E-high,E-high,E-high,E-high,E-high,E-C1,E-C1,E-C1,E-C1,E-C1,E-low,E-low,E-low,E-low,E-low,A-low,A-low,A-low,A-low,A-low,A-high,A-high,A-high,A-high,A-high,A-C1,A-C1,A-C1,A-C1,A-C1,A-C2,A-C2,A-C2,A-C2,A-C2,F-low,F-low,F-low,F-low,F-low,F-C1,F-C1,F-C1,F-C1,F-C1,F-high,F-high,F-high,F-high,F-high,F-C2,F-C2,F-C2,F-C2,F-C2,H-high,H-high,H-high,H-high,H-high,H-low,H-low,H-low,H-low,H-low,H-C2,H-C2,H-C2,H-C2,H-C2,H-C1,H-C1,H-C1,H-C1,H-C1,G-C2,G-C2,G-C2,G-C2,G-C2,G-C1,G-C1,G-C1,G-C1,G-C1,G-high,G-high,G-high,G-high,G-high,G-low,G-low,G-low,G-low,G-low
Plot,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Treatment,control,control,control,control,control,low,low,low,low,low,high,high,high,high,high,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,high,high,high,high,high,low,low,low,low,low,low,low,low,low,low,high,high,high,high,high,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,high,high,high,high,high,control,control,control,control,control,low,low,low,low,low,low,low,low,low,low,high,high,high,high,high,control,control,control,control,control,control,control,control,control,control,low,low,low,low,low,control,control,control,control,control,high,high,high,high,high,control,control,control,control,control,high,high,high,high,high,low,low,low,low,low,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,high,high,high,high,high,low,low,low,low,low
Coreopsis_tripteris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,,,7,6,,4,5,13,,2,8,14,,,,,,,2,,,,,,,,1,16,,,1,,,8,1,,1,,,2,5,,,,,1,1,,1,,,,,3,,,1,3,2,,,7
Cyperus_strigosus,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dacus_carota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,1,,,,,3,,,,2,,,,,,2,,,,,,,,,,
Desmodium_canadense,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,,,7,,,,,,,,4,,,,3,,,,,
Dichanthelium_clandestinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elymus_canadensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equisetum_hyemale,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,1,1,3,,8,,10,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
Erigeron_strigosus,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Eryngium_yuccifolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,10,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,2,,1,,
Eupatorium_perfoliatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,36,,,,5,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euthamia_caroliniana,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,10,3,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,33,,,,1,,,,,,,,,,9,,,12,3,2,,17,60,3,15,,,9,12,,,,,,,2,,,33,,,,,,2,8,,1,,,,,,,,,,,,,,,3,,7,2,,,11,12,,,30,,16,3,,18,6,5,,,,,,,,,,10,
Euthamia_gramnifolia,,,,,,,1,,,,,,,,,,,,,33,,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,,,,,,,,,,,,,37,,14,18,5,15,,,12,,11,24,,6,,,,,,2,,,,2,,1,,,,,,2,,12,2,1,,2,22,,,,,1,,,4,,,1,,,,,,,,12,13,,,6
Euthamia_gymnospiroides,,8,,,,8,,,,,,,,,,,,,,,,,1,,,9,,,,,,,3,2,,,4,,,,,,,,,,,,,,,,,,5,,,,,,,,25,,,,,,,,,,,,7,,,,,,,4,,,,,1,,1,2,,,,,,,,,,45,,,,,,9,,,,,,,,23,6,,,,,,,,,,,,,5,45,4,,3,3,2,,,,,,3,,,,,,19,,,,,8,,,,1,,,,,
